"Market: Outlook - Emo - Ecommerce - United States, Region: United States, Currency: USD",,,,,,,,,,,,,
,,,,,,,,,,,,,
ONLINE & OFFLINE SPLIT in percent,,,,,,,,,,,,,
,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Offline,82.3,81.5,80.4,75.7,72.4,70.9,69.4,66.3,63.4,60.5,58.2,56.9,56.4
Online,17.7,18.5,19.6,24.3,27.6,29.1,30.6,33.7,36.6,39.5,41.8,43.1,43.6
Most recent update:,10/02/2024,,,,,,,,,,,,
Sources,Statista Market Insights,,,,,,,,,,,,
,,,,,,,,,,,,,
MOBILE/DESKTOP SPLIT in percent,,,,,,,,,,,,,
,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,
Mobile,35.8,40.4,43.2,46.0,48.1,50.6,53.1,55.4,57.9,59.6,61.3,63.0,
Desktop,64.2,59.6,56.9,54.0,51.9,49.4,46.9,44.6,42.1,40.4,38.7,37.0,
Most recent update:,10/02/2024,,,,,,,,,,,,
Sources,Statista Market Insights,,,,,,,,,,,,
,,,,,,,,,,,,,