Monthly Consumer Confidence Index (CCI) in Germany 2010-2024,
Consumer Confidence Index (CCI) in Germany from January 2010 to September 2024,
,
Jan 10,99.52
Feb 10,99.56
Mar 10,99.76
Apr 10,99.96
May 10,99.99
Jun 10,100.21
Jul 10,100.71
Aug 10,101.20
Sep 10,101.54
Oct 10,101.74
Nov 10,101.87
Dec 10,101.87
Jan 11,101.81
Feb 11,101.74
Mar 11,101.62
Apr 11,101.52
May 11,101.48
Jun 11,101.46
Jul 11,101.30
Aug 11,100.98
Sep 11,100.72
Oct 11,100.52
Nov 11,100.50
Dec 11,100.62
Jan 12,100.71
Feb 12,100.74
Mar 12,100.76
Apr 12,100.79
May 12,100.78
Jun 12,100.70
Jul 12,100.52
Aug 12,100.30
Sep 12,100.15
Oct 12,100.12
Nov 12,100.18
Dec 12,100.29
Jan 13,100.45
Feb 13,100.58
Mar 13,100.65
Apr 13,100.68
May 13,100.70
Jun 13,100.74
Jul 13,100.78
Aug 13,100.83
Sep 13,100.93
Oct 13,101.06
Nov 13,101.22
Dec 13,101.38
Jan 14,101.52
Feb 14,101.58
Mar 14,101.59
Apr 14,101.61
May 14,101.64
Jun 14,101.62
Jul 14,101.51
Aug 14,101.28
Sep 14,101.12
Oct 14,101.09
Nov 14,101.13
Dec 14,101.28
Jan 15,101.46
Feb 15,101.63
Mar 15,101.76
Apr 15,101.81
May 15,101.77
Jun 15,101.66
Jul 15,101.52
Aug 15,101.34
Sep 15,101.10
Oct 15,100.94
Nov 15,100.92
Dec 15,101.03
Jan 16,101.08
Feb 16,101.10
Mar 16,101.13
Apr 16,101.23
May 16,101.31
Jun 16,101.37
Jul 16,101.36
Aug 16,101.32
Sep 16,101.28
Oct 16,101.30
Nov 16,101.38
Dec 16,101.45
Jan 17,101.45
Feb 17,101.40
Mar 17,101.48
Apr 17,101.65
May 17,101.83
Jun 17,101.95
Jul 17,101.95
Aug 17,101.88
Sep 17,101.84
Oct 17,101.87
Nov 17,101.91
Dec 17,101.96
Jan 18,102.30
Feb 18,102.30
Mar 18,101.97
Apr 18,101.98
May 18,101.89
Jun 18,101.81
Jul 18,101.72
Aug 18,101.64
Sep 18,101.61
Oct 18,101.58
Nov 18,101.54
Dec 18,101.52
Jan 19,101.53
Feb 19,101.55
Mar 19,101.55
Apr 19,101.50
May 19,101.37
Jun 19,101.19
Jul 19,101.04
Aug 19,100.93
Sep 19,100.93
Oct 19,100.93
Nov 19,101.03
Dec 19,101.05
Jan 20,100.96
Feb 20,100.57
Mar 20,99.77
Apr 20,98.98
May 20,98.88
Jun 20,99.28
Jul 20,99.68
Aug 20,99.97
Sep 20,100.03
Oct 20,99.86
Nov 20,99.63
Dec 20,99.49
Jan 21,99.39
Feb 21,99.56
Mar 21,99.87
Apr 21,100.20
May 21,100.74
Jun 21,101.21
Jul 21,101.35
Aug 21,101.33
Sep 21,101.33
Oct 21,101.14
Nov 21,100.83
Dec 21,100.55
Jan 22,100.32
Feb 22,99.83
Mar 22,99
Apr 22,98.32
May 22,97.89
Jun 22,97.47
Jul 22,96.97
Aug 22,96.58
Sep 22,96.26
Oct 22,96.30
Nov 22,96.71
Dec 22,97.28
Jan 23,97.85
Feb 23,98.31
Mar 23,98.60
Apr 23,98.88
May 23,99.01
Jun 23,99
Jul 23,98.89
Aug 23,98.73
Sep 23,98.59
Oct 23,98.54
Nov 23,98.52
Dec 23,98.57
Jan 24,98.58
Feb 24,98.79
Mar 24,99.10
Apr 24,99.46
May 24,99.69
Jun 24,99.82
Jul 24,99.87
Aug 24,99.73
Sep 24,99.53