,,,,,,,,,,,,
REVENUE CHANGE in percent,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Total,9.5,9.7,30.2,24.2,9.1,13.1,15.1,13.3,11.8,9.6,6.7,4.8
Electronics,10.5,9.4,17.0,15.8,-2.7,-3.1,4.4,4.5,5.5,5.3,3.5,2.2
DIY & Hardware Store,5.8,6.1,49.4,36.0,10.0,14.2,12.4,10.5,8.7,7.0,4.9,3.8
Toys & Hobby,5.6,6.8,24.7,18.3,13.7,22.3,12.2,10.0,8.3,7.0,6.0,5.2
Tobacco Products,14.4,14.5,24.6,24.1,40.6,46.7,32.9,24.0,17.8,13.3,9.9,7.3
Food,13.9,13.8,36.2,20.6,36.5,46.7,35.2,25.8,19.0,13.7,9.7,6.7
Beauty & Personal Care,15.7,16.0,27.7,32.4,11.2,15.4,12.8,10.7,9.2,7.6,3.9,3.4
Household Essentials,6.9,10.0,19.7,18.8,33.4,41.6,30.1,22.6,16.6,12.8,6.7,5.5
OTC Pharmaceuticals,8.4,12.1,43.0,49.4,17.1,22.0,18.0,14.5,11.5,8.9,5.5,4.4
Furniture,2.7,4.6,24.0,11.2,-2.0,-4.3,4.3,7.1,9.3,9.5,6.3,4.2
Eyewear,9.7,12.2,38.0,44.9,8.6,11.9,12.1,10.6,9.1,7.0,4.9,3.4
Media,10.7,7.6,24.5,11.6,4.7,6.2,7.6,5.3,4.8,4.2,3.8,3.4
Beverages,22.8,15.5,44.4,34.1,21.7,29.5,23.7,16.5,13.8,10.4,7.5,5.4
Fashion,,12.7,24.3,24.8,2.6,0.1,8.4,10.0,11.2,10.1,7.3,4.6